epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,211.204,1.47146,0.74265,0.9904,0.95007,0.91865,0.96269,0.58351,1.2939,0.61458,0.9409,0.0014588,0.0014588,0.0014588
43,216.224,1.51435,0.74545,0.98485,0.9554,0.91163,0.96472,0.59386,1.26649,0.61156,0.93086,0.0014456,0.0014456,0.0014456
44,221.202,1.48191,0.74627,0.98533,0.93613,0.91721,0.95948,0.59862,1.26516,0.60609,0.93083,0.0014324,0.0014324,0.0014324
45,226.21,1.42051,0.70535,0.97336,0.94316,0.91384,0.95822,0.58425,1.32029,0.61798,0.94244,0.0014192,0.0014192,0.0014192
46,231.217,1.48541,0.7146,0.9778,0.94302,0.91141,0.95862,0.57532,1.34747,0.64852,0.94684,0.001406,0.001406,0.001406
47,236.446,1.47574,0.72115,0.99686,0.93523,0.90989,0.95684,0.5717,1.31238,0.6629,0.93957,0.0013928,0.0013928,0.0013928
48,241.825,1.47121,0.74488,0.99624,0.93766,0.92491,0.96076,0.59542,1.26609,0.61254,0.92944,0.0013796,0.0013796,0.0013796
49,247.134,1.46834,0.71176,0.97144,0.93831,0.91379,0.95671,0.59474,1.25868,0.61167,0.92955,0.0013664,0.0013664,0.0013664
50,252.302,1.44925,0.74095,0.99724,0.93747,0.9224,0.95664,0.59196,1.25224,0.62345,0.92942,0.0013532,0.0013532,0.0013532
51,257.585,1.48873,0.72893,0.97769,0.94272,0.90738,0.95784,0.58361,1.27971,0.63367,0.9363,0.00134,0.00134,0.00134
52,262.803,1.45474,0.74518,0.99353,0.95608,0.90738,0.96463,0.60107,1.26254,0.60796,0.93273,0.0013268,0.0013268,0.0013268
53,268.085,1.38924,0.69337,0.9741,0.95561,0.90488,0.9616,0.60194,1.26355,0.60235,0.93235,0.0013136,0.0013136,0.0013136
54,274.22,1.4245,0.7346,0.98739,0.94636,0.90526,0.96035,0.59442,1.27999,0.61215,0.9371,0.0013004,0.0013004,0.0013004
55,279.553,1.40642,0.69844,0.96026,0.94035,0.9076,0.95702,0.60015,1.27193,0.60391,0.9345,0.0012872,0.0012872,0.0012872
56,284.875,1.46251,0.72676,0.99896,0.93576,0.91149,0.95621,0.59771,1.2677,0.61025,0.93348,0.001274,0.001274,0.001274
57,290.402,1.49972,0.73894,0.98662,0.94172,0.91364,0.95918,0.59345,1.27127,0.60685,0.93461,0.0012608,0.0012608,0.0012608
58,295.968,1.51013,0.75278,1.00216,0.93266,0.9224,0.9625,0.59738,1.26676,0.60133,0.93453,0.0012476,0.0012476,0.0012476
59,301.183,1.45959,0.72466,0.99471,0.95214,0.91239,0.96214,0.59122,1.27477,0.61485,0.93322,0.0012344,0.0012344,0.0012344
60,306.503,1.42258,0.70899,0.98161,0.95148,0.92115,0.9607,0.60064,1.25904,0.60861,0.92864,0.0012212,0.0012212,0.0012212
61,311.781,1.45926,0.751,0.98519,0.94859,0.9238,0.96155,0.60558,1.23729,0.61308,0.9237,0.001208,0.001208,0.001208
62,317.353,1.42802,0.70251,0.96334,0.94625,0.92548,0.96516,0.60198,1.2359,0.62943,0.91941,0.0011948,0.0011948,0.0011948
63,322.569,1.43123,0.72582,0.97691,0.94197,0.92741,0.96744,0.60604,1.22577,0.6077,0.91797,0.0011816,0.0011816,0.0011816
64,327.747,1.47171,0.73527,0.99485,0.93197,0.92593,0.96489,0.6,1.2445,0.59504,0.92254,0.0011684,0.0011684,0.0011684
65,332.938,1.47136,0.7041,0.97541,0.95209,0.90488,0.96562,0.59939,1.23965,0.59217,0.92186,0.0011552,0.0011552,0.0011552
66,338.103,1.44062,0.71008,0.98887,0.9373,0.9167,0.95927,0.58628,1.25964,0.61242,0.92496,0.001142,0.001142,0.001142
67,343.363,1.37027,0.70119,0.96274,0.93362,0.91541,0.95802,0.59614,1.25156,0.60514,0.92504,0.0011288,0.0011288,0.0011288
68,348.569,1.46336,0.70771,0.97782,0.93909,0.92623,0.96301,0.61356,1.22592,0.58413,0.92423,0.0011156,0.0011156,0.0011156
69,353.702,1.43976,0.72321,1.0039,0.94728,0.92205,0.96552,0.61722,1.22555,0.58424,0.92548,0.0011024,0.0011024,0.0011024
70,358.822,1.38379,0.69792,0.96469,0.94619,0.92115,0.96633,0.61453,1.22916,0.60081,0.92541,0.0010892,0.0010892,0.0010892
71,363.979,1.45736,0.71863,0.97708,0.93705,0.92741,0.96412,0.61363,1.21242,0.58138,0.91985,0.001076,0.001076,0.001076
72,369.169,1.41533,0.7032,0.96746,0.94938,0.91552,0.96365,0.61046,1.21843,0.58327,0.91993,0.0010628,0.0010628,0.0010628
73,374.301,1.40839,0.69564,0.97903,0.94365,0.92365,0.96314,0.60118,1.24641,0.5856,0.92372,0.0010496,0.0010496,0.0010496
74,379.488,1.50591,0.73757,0.99248,0.93427,0.92491,0.96431,0.60915,1.23951,0.58026,0.92455,0.0010364,0.0010364,0.0010364
75,384.647,1.48118,0.7187,0.97736,0.93875,0.91615,0.96233,0.59255,1.28227,0.59229,0.93223,0.0010232,0.0010232,0.0010232
76,389.811,1.44174,0.70674,0.98403,0.94937,0.9152,0.96201,0.59893,1.25244,0.58238,0.92927,0.00101,0.00101,0.00101
77,394.948,1.37473,0.67009,0.95723,0.94815,0.91489,0.96232,0.60189,1.23561,0.58046,0.92401,0.0009968,0.0009968,0.0009968
78,400.14,1.44785,0.69208,0.98869,0.94513,0.92616,0.96655,0.60833,1.23001,0.57192,0.92145,0.0009836,0.0009836,0.0009836
79,405.437,1.40158,0.677,0.96929,0.94643,0.92869,0.96874,0.60985,1.2198,0.56528,0.92163,0.0009704,0.0009704,0.0009704
80,410.976,1.37268,0.65829,0.96306,0.93935,0.94118,0.96719,0.60482,1.24622,0.57333,0.92659,0.0009572,0.0009572,0.0009572
81,416.342,1.37105,0.6695,0.96499,0.93974,0.93367,0.96723,0.60887,1.23988,0.5713,0.92506,0.000944,0.000944,0.000944
82,421.654,1.40254,0.68564,0.96586,0.9324,0.93216,0.96814,0.61919,1.2286,0.56414,0.92486,0.0009308,0.0009308,0.0009308
83,426.84,1.37281,0.66119,0.96483,0.93332,0.94118,0.97399,0.62558,1.21298,0.56666,0.92102,0.0009176,0.0009176,0.0009176
84,432.631,1.42273,0.70422,0.96622,0.93733,0.93992,0.97247,0.62331,1.21402,0.5583,0.92078,0.0009044,0.0009044,0.0009044
85,438.001,1.36902,0.66127,0.96336,0.94067,0.93742,0.97262,0.62552,1.21028,0.5527,0.91893,0.0008912,0.0008912,0.0008912
86,443.436,1.36777,0.66931,0.95047,0.94021,0.94368,0.97186,0.62926,1.20616,0.55002,0.91815,0.000878,0.000878,0.000878
87,449.335,1.36002,0.65397,0.95238,0.93491,0.9527,0.97368,0.62523,1.23124,0.55524,0.92248,0.0008648,0.0008648,0.0008648
88,454.798,1.40242,0.67951,0.97124,0.9492,0.93367,0.9737,0.62481,1.22685,0.55069,0.92219,0.0008516,0.0008516,0.0008516
89,460.184,1.41359,0.68112,0.97583,0.94781,0.93492,0.97282,0.62472,1.21756,0.55168,0.92138,0.0008384,0.0008384,0.0008384
90,465.587,1.41648,0.67371,0.97441,0.95386,0.93144,0.96962,0.61766,1.21927,0.56395,0.92288,0.0008252,0.0008252,0.0008252
91,471.052,1.39448,0.71894,0.9734,0.95333,0.92991,0.96693,0.6156,1.21964,0.55675,0.92137,0.000812,0.000812,0.000812
92,476.48,1.38521,0.68292,0.96133,0.94761,0.9282,0.97054,0.62083,1.22329,0.54893,0.92288,0.0007988,0.0007988,0.0007988
93,481.97,1.37645,0.68473,0.98286,0.94292,0.94243,0.97151,0.62251,1.22269,0.54765,0.92247,0.0007856,0.0007856,0.0007856
94,487.665,1.41198,0.68623,0.96217,0.95289,0.93492,0.96662,0.61862,1.23594,0.55242,0.92162,0.0007724,0.0007724,0.0007724
95,493.274,1.37185,0.67562,0.96339,0.96213,0.92216,0.96905,0.61222,1.2579,0.5615,0.92412,0.0007592,0.0007592,0.0007592
96,498.847,1.42044,0.684,0.97623,0.95425,0.93492,0.96889,0.62155,1.20202,0.55236,0.91444,0.000746,0.000746,0.000746
97,504.511,1.37272,0.66734,0.96455,0.95597,0.93492,0.9691,0.62185,1.19796,0.54854,0.91482,0.0007328,0.0007328,0.0007328
98,510.263,1.3813,0.65554,0.95852,0.95508,0.93242,0.96964,0.61578,1.23091,0.55198,0.92201,0.0007196,0.0007196,0.0007196
99,515.891,1.40927,0.66781,0.97087,0.9544,0.93242,0.97247,0.61425,1.23662,0.55472,0.92415,0.0007064,0.0007064,0.0007064
100,521.53,1.35543,0.64726,0.96138,0.95273,0.93242,0.96821,0.62184,1.20377,0.55566,0.91626,0.0006932,0.0006932,0.0006932
101,527.336,1.39063,0.66828,0.97999,0.95289,0.93242,0.9676,0.61544,1.20792,0.56098,0.91598,0.00068,0.00068,0.00068
102,532.556,1.37644,0.64959,0.9623,0.95403,0.93499,0.96847,0.61365,1.212,0.5592,0.91753,0.0006668,0.0006668,0.0006668
103,537.759,1.34797,0.66713,0.96719,0.94321,0.93742,0.96855,0.61783,1.21983,0.55907,0.9195,0.0006536,0.0006536,0.0006536
104,543.202,1.40402,0.67932,0.97743,0.94289,0.93867,0.97016,0.62277,1.20454,0.54958,0.91625,0.0006404,0.0006404,0.0006404
105,548.865,1.32742,0.65538,0.95839,0.94311,0.93369,0.97063,0.62403,1.20336,0.54735,0.91572,0.0006272,0.0006272,0.0006272
106,554.465,1.38093,0.68335,0.98368,0.93383,0.93608,0.97068,0.62445,1.1998,0.54222,0.91474,0.000614,0.000614,0.000614
107,560.048,1.33757,0.64123,0.9608,0.93685,0.95119,0.97356,0.62215,1.21151,0.54376,0.91619,0.0006008,0.0006008,0.0006008
108,566.007,1.31827,0.65615,0.96575,0.93626,0.95601,0.97321,0.6224,1.21219,0.54363,0.91618,0.0005876,0.0005876,0.0005876
109,571.427,1.35811,0.65104,0.95945,0.93501,0.95437,0.97148,0.62477,1.2085,0.54009,0.91522,0.0005744,0.0005744,0.0005744
110,576.732,1.39673,0.66191,0.97863,0.93463,0.94847,0.96961,0.62295,1.19858,0.53955,0.91314,0.0005612,0.0005612,0.0005612
111,582.058,1.35691,0.64836,0.95306,0.94204,0.95607,0.97011,0.61844,1.21671,0.54176,0.91812,0.000548,0.000548,0.000548
112,587.355,1.38353,0.68086,0.96845,0.94296,0.9517,0.97086,0.62507,1.20811,0.53726,0.91826,0.0005348,0.0005348,0.0005348
113,592.609,1.33947,0.63952,0.95401,0.94181,0.95199,0.97405,0.62906,1.19266,0.53708,0.91528,0.0005216,0.0005216,0.0005216
114,597.877,1.35862,0.64427,0.96454,0.95071,0.94152,0.97728,0.6281,1.19689,0.53956,0.91655,0.0005084,0.0005084,0.0005084
115,603.443,1.33701,0.63828,0.94583,0.94944,0.94003,0.97411,0.62183,1.22068,0.54116,0.92206,0.0004952,0.0004952,0.0004952
116,608.923,1.35053,0.63901,0.97311,0.94483,0.94493,0.97379,0.6245,1.21443,0.53908,0.91943,0.000482,0.000482,0.000482
117,614.377,1.35448,0.62713,0.95131,0.93405,0.95244,0.9747,0.62856,1.19685,0.53741,0.91415,0.0004688,0.0004688,0.0004688
118,619.861,1.35948,0.63232,0.95279,0.93845,0.95419,0.97842,0.63407,1.18176,0.53492,0.91017,0.0004556,0.0004556,0.0004556
119,625.396,1.38403,0.6718,0.97484,0.93845,0.94743,0.97436,0.63453,1.18192,0.53619,0.91066,0.0004424,0.0004424,0.0004424
120,630.886,1.35544,0.63565,0.96475,0.94605,0.95119,0.97939,0.63299,1.17891,0.5337,0.91041,0.0004292,0.0004292,0.0004292
121,636.366,1.34295,0.63775,0.94718,0.94436,0.94743,0.97548,0.63364,1.17969,0.53209,0.9105,0.000416,0.000416,0.000416
122,642.259,1.38589,0.65026,0.96266,0.94499,0.94609,0.97524,0.62907,1.20078,0.53533,0.915,0.0004028,0.0004028,0.0004028
123,647.823,1.39542,0.65324,0.95955,0.94732,0.94524,0.97546,0.63054,1.19796,0.53112,0.91513,0.0003896,0.0003896,0.0003896
124,653.408,1.37606,0.64962,0.96695,0.9437,0.94399,0.9736,0.6324,1.19184,0.52811,0.9133,0.0003764,0.0003764,0.0003764
125,659.042,1.32392,0.63332,0.95072,0.94247,0.94368,0.97293,0.63061,1.19381,0.52922,0.91272,0.0003632,0.0003632,0.0003632
126,664.605,1.3541,0.64165,0.95355,0.94172,0.94243,0.97295,0.6278,1.20148,0.53302,0.91293,0.00035,0.00035,0.00035
127,670.166,1.39691,0.66337,0.95944,0.94035,0.9471,0.97315,0.62767,1.19943,0.53213,0.9127,0.0003368,0.0003368,0.0003368
128,675.631,1.36444,0.63669,0.97548,0.94003,0.94493,0.97319,0.6338,1.18861,0.529,0.91153,0.0003236,0.0003236,0.0003236
129,681.074,1.34999,0.65534,0.94665,0.93924,0.94493,0.97313,0.6338,1.18623,0.52848,0.91151,0.0003104,0.0003104,0.0003104
130,686.57,1.33689,0.62832,0.95682,0.94407,0.94118,0.97382,0.6342,1.18494,0.52614,0.91178,0.0002972,0.0002972,0.0002972
131,692.684,1.31118,0.61696,0.94896,0.94492,0.94481,0.97478,0.63658,1.18224,0.5219,0.91082,0.000284,0.000284,0.000284
132,698.255,1.31542,0.61323,0.9376,0.95087,0.94474,0.97538,0.63564,1.18402,0.52009,0.91071,0.0002708,0.0002708,0.0002708
133,703.747,1.39533,0.64772,0.94521,0.95191,0.94146,0.97546,0.63381,1.18886,0.52117,0.91126,0.0002576,0.0002576,0.0002576
134,709.246,1.38222,0.64855,0.95416,0.94818,0.94243,0.97457,0.62807,1.19794,0.52434,0.91247,0.0002444,0.0002444,0.0002444
135,714.747,1.38712,0.6441,0.96292,0.95445,0.93742,0.97495,0.63296,1.18844,0.52328,0.91038,0.0002312,0.0002312,0.0002312
136,720.194,1.3436,0.62159,0.95839,0.95,0.93867,0.97561,0.63504,1.17965,0.5211,0.90836,0.000218,0.000218,0.000218
137,725.787,1.34332,0.64568,0.96034,0.9484,0.93867,0.97572,0.63604,1.17968,0.52172,0.90825,0.0002048,0.0002048,0.0002048
138,731.376,1.30532,0.62575,0.96171,0.94808,0.93742,0.97511,0.63556,1.17658,0.52086,0.90831,0.0001916,0.0001916,0.0001916
139,736.814,1.35304,0.62564,0.95658,0.94611,0.93742,0.97472,0.63344,1.17911,0.52042,0.91017,0.0001784,0.0001784,0.0001784
140,742.246,1.31681,0.62433,0.95289,0.94578,0.93867,0.97305,0.63176,1.19003,0.52123,0.91287,0.0001652,0.0001652,0.0001652
141,747.636,1.23769,0.68087,0.96162,0.94307,0.94118,0.97299,0.63089,1.19418,0.52327,0.91409,0.000152,0.000152,0.000152
142,752.939,1.25632,0.6641,0.95509,0.94137,0.94447,0.9714,0.63145,1.18861,0.5262,0.91257,0.0001388,0.0001388,0.0001388
143,758.394,1.2352,0.61513,0.95358,0.94032,0.94118,0.97215,0.63371,1.18096,0.52863,0.91026,0.0001256,0.0001256,0.0001256
144,763.83,1.23538,0.62433,0.93357,0.94463,0.93956,0.9719,0.63359,1.18007,0.53079,0.90915,0.0001124,0.0001124,0.0001124
145,769.294,1.26192,0.61965,0.93073,0.94549,0.93242,0.97178,0.63194,1.17896,0.53155,0.90868,9.92e-05,9.92e-05,9.92e-05
146,774.59,1.22129,0.60455,0.94097,0.94982,0.92866,0.9716,0.63199,1.1772,0.53461,0.90824,8.6e-05,8.6e-05,8.6e-05
147,780.055,1.28681,0.6255,0.9413,0.94701,0.93116,0.97278,0.63029,1.17907,0.53936,0.90904,7.28e-05,7.28e-05,7.28e-05
148,785.437,1.22976,0.58004,0.93744,0.94527,0.93116,0.97239,0.63152,1.18292,0.54756,0.90982,5.96e-05,5.96e-05,5.96e-05
149,790.934,1.27689,0.61585,0.96268,0.94645,0.92905,0.97233,0.63122,1.18434,0.55004,0.9104,4.64e-05,4.64e-05,4.64e-05
150,796.05,1.24595,0.59506,0.94707,0.94759,0.92769,0.97233,0.63054,1.18455,0.55432,0.91047,3.32e-05,3.32e-05,3.32e-05
